ques,label
实在 共情 妹妹 太 矫情 男朋友 阳性 上面 显示 阳性 请 医生 帮 申请 方舱 我怕 伤害 传染给 身边 不是 监狱 方舱医院 有吃有喝 医生 真的 太 矫情 外 媒送 子弹 矫情 妹,-1
不能不 封,-1
早日康复 吃饭 喝 热水,1
停尸房,-1
王凯 超话 可爱 爱 不服 啄滴 武汉 王凯 哥哥 王凯,1
真的假 睡 大街,-1
支持,1
疫情 三年 增加 病房 增加 医护 天天 浪费 财政 建 方舱医院 问 没有 分级 诊疗 骂 回忆 群嘲 医学 手段 方舱医院,-1
希望 幸运,1
昨天 通宵 声音 假,-1
意味着 疫情,-1
中国 加油,1
新 祝愿 开心 快乐 幸福 圆满 走动,1
老乡 骄傲,1
嘻嘻哈哈 吹喇叭 微笑,1
你好 感兴趣 中国 医生 开通 超话 社区 超话 社区 旗下 兴趣 互动 社区 快来 志同道合 小伙伴 交流 互动 戳 中国 医生 超话,1
武汉 少说 几万 不让 确诊,-1
心,1
新一轮 疫情 发生 新疆 联通 重点 全疆 家 定点 医疗机构 交通枢纽 个卫健 单位 基站 小区 实施 小时 监控 优化 高负荷 基站 小区 重点 保障 党政军 政企 客户 专线 有效 确保 隔离 点 方舱医院 党政军 单位 网络 稳定 运行,1
这是 一项 政治 任务 这是 历史 赋予 使命 泪目 感动 中国 青年 棒,1
有时候 老年人 干 老年人 事 特权 谋求 弹窗 不弹 功劳 父母 子女 躺 父母 功劳簿 算 英雄 这是 丹书铁券 八旗 铁杆 庄稼,-1
暖心 武汉 江岸 方舱医院 里 医护人员 生日 月份 位 患者 策划 一场 特别 生日会 医护人员 患者 准备 蛋糕 长寿面 现场表演 手语 舞蹈 琵琶行 没有 冬天 没有 春天 到来 生日快乐 祝 早日康复,1
收费 程度 降价 厦门 混采 路费 检测费 贵,-1
辽宁 医疗 团队,1
串门儿 回访,1
感冒 感冒 感冒,-1
申请 进群 老师,1
方舱 之声 感染者 出院 时 留下 一封 感谢信 小汤山 方舱医院 隔离 单元 桌子 留下 一封 感谢信 这是 写给 第一 隔离 单元 北京 佑 安 医院 医疗队 医生 刘博君 护士 杜凤倩 感谢 隔离 人员 紧张 时刻 给予 温暖 隔离 人员 感谢信 感谢 党 关心 小汤山 方舱医院,1
怕 隔离 条件 差 保障 差,-1
海南 加油 美的 心,1
你好 感兴趣 微 盘点 开通 超话 社区 超话 社区 旗下 兴趣 互动 社区 快来 志同道合 小伙伴 交流 互动 戳 微 盘点 超话,1
期待 王俊凯 王俊凯,1
相对论,0
加油,1
深圳 全国 扩招 医疗 岗位 公告 城市 做 准备 老师,1
打开 第一件 事 预测,1
专业 可爱 致敬 逆 行者 方舱医院 里 寒江 孤影 江湖 故人 一线 医护 专业 可爱 专业 可爱 致敬 逆 行者,1
骡马 手术室 思想 发展 联勤 模块化 野战 方舱医院,0
不能 告诉 喀什 一例 静默 静默 一个月 静默 侵犯 知情权 新疆 检察,-1
靳东 方舱 鲜花 靳东 超话 期待 早日 播出 詩堯 期待 靳 东胡 庆生 院长 感谢 一线 工作人员 心,1
期待 小伦叽 憧憬 憧憬 憧憬 邓伦 极限 挑战,1
肖战 公益 一路 杭州 亚运会 圆梦 公益 大使 肖战 坚持 公益 鲜花 鲜花 玖 少年 团肖战,1
方舱医院 差距 充电器 没有 吹牛 逼 疫情 面前 弟弟,-1
想 雷 神山 毕业 先过 东北 话 八级 雷 神山 病区 走 道 里 几名 几天 出院 患者 测试 东北 话 病区 医护人员 辽宁 营口 医疗队 患者 住院 期间 学了 不少 东北 话 武汉 患者 说话 东北 味 患者 说 医疗 队员 病区 元气 最旺 开心 出院 哭 成 泪人,1
辛苦,1
福州 联通 快速 完成 仓山 第二座 方舱医院 通信 保障,1
蹭 蹭 涨 方舱 管饭 有没有 舔 栏杆 揣手,-1
近日 网传 榆林 方舱医院 收治 一人 补贴 纯属 谣言,-1
香港 加油,1
大爱大美,1
有事 方舱 当成 臆想 高耸 立场 标志物 完全 无视 发挥 正常 功能 时 方舱 患病者 治疗 抢救 转运 作用 七天 发现 大面积 肺炎 心肺 复苏 耽误 多久 抢救 时间 有事 住 方舱医院 避免 悲剧,-1
东区 卫生院,-1
支持,1
加油,1
关注 鼓楼 微讯 关注 身边 事,1
真的 失望,-1
想 问 无疫 小区 封 算 怎么回事,-1
建议 医院,-1
停诊 家底 掏 武汉 报道 没有 辽 心酸,-1
加油,1
毒株 消灭 掉 远离 感染,-1
高伟光 读 好书,1
加油 伊朗,1
医患 关系 回来 失望 希望 疫情 结束 良好 医患 关系 维持下去 失望 医生 受苦受累 受 委屈 不能 白受 重视 维护 医生 教师 记者 诸多 职业 合法权益 提高 有能力 肯 付出 待遇 拳头,-1
政府 没事找事 选址 肯定 居民 生命 健康 支持 早日 结束 疫情 真,1
跳操 锻炼 演讲 绘画 消防 检查 这支 方舱医院 志愿者 服务队 太 全能 北京 石景山区 方舱医院 活跃 一支 志愿者 服务队 最小 岁 最大 岁 组织 发饭 消防 检查 跳操 锻炼 演讲 绘画 小小的 志愿者 服务队 医生 护士 好帮手 志愿 服务 携手 抗疫 带来 成效 听听 心声,1
选出 裂开,-1
加油 心,1
沙雕 老百姓 可爱 大白 医护 温暖 可爱 唱唱 跳跳 心情 战胜 疫情 加油 心,1
致敬,1
湖北 消杀 日子 从雷 神山 方舱 武汉 黄冈 天津 志愿者 岭俊 救援队 天津 出发 奔赴 湖北 一线 连续 一个多月 时间 转战 湖北 多个 城市 防疫 消杀 物资 分发 技术培训 工作 医疗队 驻地 雷 神山 工地 政府 机构 居民小区 方舱医院 名 队员 经历 湖北 日日夜夜,1
加油,1
希望 加快 研制 适用 免疫 抑制剂 人群 疫苗 不能 现有 疫苗 病毒 危害 重点 人群 人里 壮年 年轻人 本来 普通人 工作 生活 岗位 奋斗 放开 人和 家庭 面临 问题 麻烦 希望 能够 有人 帮帮,1
石家庄 告诉 真,-1
五四 青年 走进 火神 山 雷 神山 故事 领略 中国 速度 致敬 青年 建设者,1
正确 集体 记忆 发 谣言 九宫格 配文 真的 佩服 背后 指点,1
不是 上海 户 不管,-1
唱功 真的 特别 扎实 喜欢 实力派,1
严惩 怒,-1
声音 太 沉醉 感动 太 开心 太 开心,1
鲜花 山西 联通 抗击 疫情 央企 尽快 遏制 新冠 疫情 蔓延 贵阳市 近期 清镇 建设 方舱医院 清镇市 数据 部门 统筹 贵州 联通 现场 拟定 基站 扩容 方案 快速 做好 通信 保障 确保 网络 畅通 新闻报道 贵阳 疫情,1
感染 死亡 国家 卫生 健康 委 发言人 宣传司 司长 宋 树立 国务院 联防 联控 机制 发布会 说 方舱医院 收治 患者 一家 方舱医院 休舱 段时间 家 方舱医院 收治 患者 万 千余 实现 感染 死亡 回头 其间 全国 多名 医务 工作者 武汉 医务人员 方舱医院 并肩作战 完成 救治 任务 新华网,-1
抗击 疫情 前线 可爱 人点,1
抱抱 姑娘 撑住 抱抱,1
早日康复,1
加油 国庆 中秋 假期 历经 不凡 中国 迎来 充满 烟火 气 生活 图景 群众 天安门广场 升旗 武汉 方舱医院 变 回 体育馆 国庆 当天 万 游客 登上 黄鹤楼 人间烟火 气 抚慰 人心 秒 混 剪 国庆 温情 瞬间 元气 满满,1
不简单 不简单 不简单 不简单 不简单 建到 疫情 结束 吵架,-1
方舱 医护 当人 说来听听 套路 区别 免费 当人 花钱 隔离 体验 服务 有人 看护 烧晕 没人管 不用 排队 做 核酸 风险 对接 医院 熟悉 当初 不是 免费,-1
蜜蜂 小天使 加油 疫情 结束 追峰,1
不简单,-1
三小只 认床,-1
深夜 距离 高考 仅剩 天 高三 学生 小于 核酸 检测 阳性 转运 北京 小汤山 方舱医院 上午 点 分 小于 走进 考场 小于 完成 语文 答题 医护人员 想 答卷 安全 送 隔离区 紫外线 照射 擦拭 消毒 次 消毒 医护人员 说 付出 值得 致敬,1
心 心 心,1
上海市 仁济 医院 负责管理 周浦 方舱 管理混乱 监护 不力 导致 无症状 进 方舱 天后 进 最终 死亡 请 相关 部门 严查 老百姓 交代 拳头 拳头 拳头,-1
账号 条微博 内容 跳跃 前 一条 第一人称 写 复制粘贴 行文 作者 设有 很大 差距 条微博 揭短 没有 真实性 体验 叙述 感觉 像是 照片 拼图 文宣 像是 风格,-1
不是 严重 进 医院 说 轻松,-1
跳跳 广场 舞 嘿嘿,1
叔叔 阿姨 雷 神山 宝宝 火神 山 宝宝 定名 两个 雷神山医院 患者 清零 胜利 关闭 备受 网友 关注 雷 神山 火神 山 宝宝 拥有 名字 铁塔 硬汉 王苏恒 中建 铁人 刘铭灿 工地 玫瑰 罗媛涵 致敬 医护人员 勇敢 逆行 致敬 央企 建设者 星夜 兼程 祝福 火神 山 雷 神山 宝宝 茁壮成长,1
蓄势 爆发 青云直上 心之所 皆 光芒万丈 喜欢 肖战 专一不移 玖 少年 团肖战,1
太棒了 城市之光 献给 武汉 这座 英雄 城市 鲜花 鲜花 鲜花,1
白衣 小将 方舱医院 组建 心理 小组 情绪 困扰 患者 心理 疏导 心 给力,1
有没有 后边 危重症 是因为 封城 医院 关闭 医务人员 支援 核酸 轻症 方舱 人为 医疗 挤兑,-1
口岸 国门 建 好看,1
跟着 张翰益 真棒 我翰哥 张翰 小心 心,1
棒,1
还好 宝,0
叉 酱 二哈 二哈,1
加油 加油 加油 加油 加油 加油 加油 加油 加油 心 抱抱 心,1
大庆 方舱 能用 建 吃瓜,1
致敬 一位 平凡 英雄 中国 真的 幸福,1
试试,1
关注 话筒 关注 话筒,1
一线 防疫 人员 难 居家 人员 难 难 盼 解封 看不到 一丝 希望 允悲 允悲 允悲,-1
加油,1
多念,1
赏 烟花 云 跨 地方 哈哈,1
好多 艺人 感染,1
躺平 放开 不是 个事 挖 鼻,-1
造谣 判重 一点,-1
说 居委 买 菜 从没 收到 货 发 菜 绿 土豆 烂菜 淋巴癌 患者 母亲 求救 希望 医院 收治 凌晨 到达 医院 感谢 网友 母亲 被拉入 方舱 得不到 癌症 治疗 新 求助,-1
邵阳 武冈 城步 绥宁 全部封 城 没有 封城 三个 县 外来 车辆 可气 邵阳 没有 关注 苦涩,-1
通知 方仓 隔离 点 隔离 环境,-1
想着 征用 高校 武汉 加油,1
长春 长春 木工 电工 水暖工 建 方舱医院 报名 方式 要求 希望 帮忙 顶顶,1
海尔 空调 真的,1
湖北 中医 治疗 走红 上海 方舱医院 湖北 医疗队 应急 物资 陆续 奔赴 上海 带去 湖北 感恩 情谊 武汉市 中医医院 名援 沪 医疗 队员 首次 上海 新 国际博览 中心 舱内 中医 诊疗 手段 望闻问切 八段锦 操等 中医 战疫 法 轮番上阵,1
花 钱 不用 浪费,-1
预告 内容 涵盖 范围 医院 火神 山 建设 方舱 隔离 社区 故事 值得 铭记 致敬 疫情 工作 挺身而出 最美 逆 行者,1
加油,1
不是 四五百万 三千多万 直播,-1
事不过三 一而再 再而三 罔顾 事实 势必 招致 反感,-1
反问 一句 人权 何在 笑 不语,-1
创意 不错 赞一个,1
新增 万 搞 万片 药 一人 不到,-1
奇怪 前 几天 说 缺氧 气 钢厂 没有 大型 制氧 设备,-1
摊手 想 造个 车来 捐,-1
感冒 富士康 同胞 难受 两个 朋友,-1
感动 杭州 浙江 杭州 南阳 街道 方舱医院 内暖心 一幕 市民 记录下来 民警 管亚飞 唐成江 疫苗 接种 现场 发现 一位 身形 瘦弱 双腿 残疾 男子 好心人 带来 接种 疫苗 行走 只能 坐在 台阶 二人 凳子 男子 扛起 来回 米 一路 抬至 医院 门口 好心人 男子 接上 二人 放心 回到 岗位 执勤,1
事实 教育 印象 更深,1
给力 支持,1
生命 救援 艺术 热爱 毫不相关 两件 事物 碰撞 冲击 生命不息 艺术 不止 谢谢 千里 奔波 卡车司机 李 保民 谢谢 雷 神山 工人 明红胜 谢谢 空空荡荡 北京城 里 穿梭 外卖 员 高治晓 谢谢 一位 默默 奉献 中国,1
感冒 张 兰阳 碟 班,-1
瘟疫 成 三个 熬过去 苦涩,-1
护航 生命 之舟 呼和浩特 联通 借力 创新 网络 方案 确保 方舱医院 通信 畅通,1
毛 估计 最不缺,-1
感染者 居家 时 注意事项 北京 佑 安 医院 感染 综合 科 主任医师 小汤山 方舱医院 医疗 专家 李侗 冰箱 低温 封闭 病毒 停留 时间 长 建议 感染者 不去 接触 冰箱 家人 准备 食物 做饭 痊愈 最好 冰箱 断电 冰箱 恢复 室温 状态 天,-1
二级 医院 救治 重症 华山 设备 搬 二级 医院,-1
没有,-1
路上,1
微风 微风 微风,1
恶魔 惩罚 善良 辜负 善良 厉害 钟南山 院士 李兰娟 院士 负责 河南省 长 村支书 无数 奋斗 一线 医务 工作者 基建 狂魔建 火神山雷神山,1
无畏 无恙 伴 同行,1
瞎 几把 造谣,-1
顶一顶,1
战 疫 夫妻 武汉大学 举办 援 鄂 抗疫 医护人员 赏樱 专场 全蜀 张珊珊 夫妇 想起 去年 疫情 期间 两人 奋战 雷 神山 火神山医院 建设 病房 两个 战场 几个 相见 张珊 珊 说 樱花 路上 拥挤 车辆 激动不已 一年 前 武汉 容易,1
女性 参加 体力劳动 少 火神山雷神山 一半 工人 女 女性 丧失 话语权 后果 希望 女性 参加 体力劳动 打拳 打拳 打出 做 家务 动手 能力 男 不争,-1
财约 腾讯 火神 雷神 开建 时 金融机构 通力合作 保障 支付 结算 畅通 开通 第一天 万 工程款 想到 工人 手里 心塞 情况 大年初一 冒着危险 火速 火雷 神山 建设 加班 三班倒 停歇 节奏 战疫 英雄 可爱 妥善安置,1
棒棒,1
强龙压 地头蛇 武汉 进退失据 空降 大员 建了 方舱医院 形势 好转 西安 老太太 几天 老太太 督师 地方 西安 施展 开,-1
中国 牛牛 哒 小红花,1
短 东西 谨慎,-1
平凡 英雄,1
哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 差,-1
击穿 当初 床位 长春 逛 晚上 第二天 点才 找到 床位 长春 床位 充裕 长春 吐 槽 我拉进 医院 方舱 殊不知 一种 幸福 烦恼 阳性 送医 不是 阳性 危重病 阳性 不是 专门 收治,-1
直播,1
中国 火神 山 雷神山医院 建设 手绘 长卷 中国 速度 小时 不间断 施工 万余 建设者 日夜 鏖战 人次 红 区内 作业 筑者 医者 同披 战甲 共击疫 魔 以此 片 献给 火神 山 雷神山医院 建设 奋斗 平凡 英雄,1
致敬 平凡 英雄,1
迪丽 热巴 致敬 医护人员,1
历史 本来 写 区 捐 五千 口罩 留名 小伙 报名 参加 雷 神山 火神山医院 建设 万千 朴实 农民工 身体 不适 强制 休息 浪费 一套 防护服 默默 流泪 护士,1
关键 一段话 不用 治疗 绝大多数 轻症 无症状,-1
空灵 治愈 近日 内蒙古 小伙 李汉铖 分享 方舱医院 巡演 手碟 隔离 生活 手碟 声音 空灵 放松 治愈 音乐 意义 感受 魅力 网友 谢谢 治愈 方舱 患者 医护,1
一切顺利 收到,1
火神山雷神山 方舱医院 建设者 吃 白饭 配 榨菜 干 活儿 工资 大幅 缩水 武汉 领导 不能 交代 补充 方舱医院 时期 卫生 打扫 靠着 医护人员 环卫 阿姨 清零 打扫 环节 有人 点 攻击 造谣,-1
分享,1
先锋 集团 网信 理财 诈骗 亿 其线 上线 资金 截留 欠 亿 出借 资金 涉及 全国 受害人 万 先锋网 信无 兑付 方案 还款 意愿 先锋网 信高管 纷纷 卷款 出逃 留守 高管 忙 转移 资金 销毁 证据 注销 公司 先锋网 信实 控人 张振新 诈死 英国 英国 恳请 政府 立案 彻查,-1
支付宝 说,-1
求助 请问 南京 医院 能输 血 爸爸 红细胞 血小板 不够 医院 方式 住院 输到 血,-1
抱抱 抱抱 抱抱 戴 口罩 疫苗 保护,1
苏宁 易购 上市公司 伪造 员工工资 明细 欺骗 法院 爆光 这家 公司 可耻 顶 新 京报 人民日报 头条新闻 央视 澎湃 苏宁 易购,-1
爱 欲 无求 情深意重 充满 笑语 间 不知不觉 笑 笑 泪目,1
平安 归来,1
上海市 仁济 医院 负责管理 周浦 方舱医院 管理混乱 监护 不力 导致 无症状 进 方舱 天后 进 导致 最终 死亡 请 相关 部门 严查 此事 家属 真相 拳头 拳头 拳头,-1
敬请 看一看 医生 上船 见到 种种 景象 便知 写 实在 足够 客气,1
上海 街道 同居 委 真实 事件 哄骗 从未见过 正式 文件 要求 转运 这是 上海 清零 举措,-1
辛苦,1
支持 支持 支持,1
给力,1
笑哈哈,1
失望,-1
感谢 这场 战疫 天里 十次 武汉 运送 物资 卡车司机 隔离 结束 酒店 房间 打扫 干净 环卫工人 为援 鄂 医护 义务 理发 理发师 方舱医院 掏粪 工的 志愿者 这场 战疫 平凡人 挺身而出 守望相助 带来 太 感动 致敬 人民日报,1
好意思 裂开 一百天 丢人,-1
火神山雷神山 面对 疫情 天灾 中国共产党 中国政府 高度重视 迅速行动 习近平 总书记 亲自 指挥 亲自 部署 统揽全局 果断 决策 中国 抗击 疫情 坚定 信心 凝聚 力量 指明 方向 打响 抗击 疫情 人民战争 总体战 阻击战,1
泪目 两位 聋哑 患者 出院 手语 舞 致谢 医护 近日 两位 聋哑 患者 住进 武汉 雷神山医院 间 病房 更好 治疗 照顾 医护人员 利用 休息时间 学习 手语 两位 患者 情况 稳步 好转 康复 出院 出院 前 手语 舞 谢谢 医护人员 致谢,1
加油,1
黑龙江 加油,1
期待 剧中 方舱 单元 靳东演 带队 参考 上海 瑞金医院 光谷 院区 领队 胡伟国 副 院长 上面 挂 衣服 下面 摆着 裹尸 袋 场景 单元 咨询 上海 首位 援鄂 医生 钟鸣 医生 期待 这部 剧,1
包吃包住 日薪 近日 上海 奉贤 急于 求职 包 微信群 得知 方舱医院 招工 包吃包住 工资 当包 转款 接送 费 上班 再也 经查 警方 目标 锁定 嫌疑人 陈某 发现 本市 被害人 微信 账号 转账 足够 证据 日前 警方 杨浦区 国顺 东路 一处 住宅 陈某 抓获,-1
啊啊啊,0
床位 配 插排 手机 电 老少 爷们 憋死,-1
真实 报道,1
妈呀 心理 阴影,-1
短时间 短时间 不太会 改变 方舱 不是 医院 广安 广安 为啥 弄,-1
泉州 加油 加油,1
上海 严令 老人 送 条件 恶劣 方舱 这是 朋友 亲戚 两个 多岁 老人家 送到 条件 特别 恶劣 方舱 本来 防疫 说 送到 定点医院 求助 吕健 现居 华师大 一村 联系方式,-1
各種 烏煙瘴氣 出來,-1
建设 方舱医院 应收 尽收 武汉 保卫战 转折点 反正 乱七八糟 一锅粥 鱼 米 肉 蛆 铜 豌豆 糊糊涂涂 炖,-1
辛苦,1
棒 爱 王子 异,1
一群 热爱生活 救死扶伤,1
长春 木工 电工 水暖工 建 方舱医院 报名 方式 要求 希望 帮忙 顶顶,1
国家 准备,1
建设 永久性 方舱医院 意外 人体 植入 检测 机器 意外 阳性 乱 走 爆炸,-1
方舱医院 肯定 标准 建设 专业 人员 管理 看着 条件 差点 不是 宾馆 防疫 听说 方舱医院 问题,-1
我人 湛江 半年 去过 广州 广州 赋予 黄码 情况 最近 两个 第三次 打电话 没有 得罪 玩 广州日报 健康 广州,-1
放开 全民 裸奔,1
可爱 宝 抱 一抱 抱 一抱 抱 一抱,1
出事 那天,-1
照顾 保护 哇,1
标题 的真,1
没救 不想,-1
永州 联通 湖南 联通 抗击 疫情 央企 福建 联通 快速 响应 保障 方舱医院 通信 畅通,1
致敬,1
武汉 加油 中国 加油,1
致敬,1
不戴 口罩 防,-1
火 江西 元素 版 大白 成 上海 方舱 新宠 头顶 热气腾腾 瓦罐 汤 南昌 拌 粉 青花瓷 防护服 裹 圆圆的 身子 近日 两个 版 大白 卡通 形象 洪洪 佑 佑 成 上海 新国博 方舱医院 舱区 新宠 孩子 萌萌 舱内 患者 新鲜 疫情 家人 尝尝 江西 瓦罐 汤 拌 粉 实地 领略 景德镇 青花瓷 美,1
加油 心,1
医院 位子,-1
周 市长 看着 挺 疲惫 神态 辛苦,1
想 问 越封 越 脸 扣下来 吃掉,-1
收入 国库 肥肠 真的 火 跪,-1
教师节 快乐 感恩 辛勤 园丁,1
母亲 辛苦 节日快乐 心,1
子承父业 致敬 医护人员,1
感谢 辛苦,1
宁波 联通 快速 实现 方舱医院 网络覆盖,1
朱一龙 日光 下面 阅读 风景 阅读 生活 朱一龙,1
新冠 印象 深刻,1
挖 鼻,-1
东南 雅 古力 娜,1
不错 心,1
这算 道德 绑架,-1
医生 护士 地里 长,-1
感谢 一线 医护人员 感谢 公交车 司机,1
耶耶耶 好事 希望 推广 这才 核酸 花钱 方舱医院 封控 成本 医护人员 多发 点钱,-1
加油 坚强 喔,1
阳春 三月 一切 越来越 平安 归来 春暖花开 美景,1
管管 校园 暴力,-1
湖北 致信 慰问 全省 万 护理 工作者 最美 湖北 护理,1
太 无语,-1
谢谢 平凡 中国 心,1
辛苦 心 中国,1
小妖精,-1
分级 诊疗 小城镇 困难 地方 医院 少 诊所 少 可怜 光建 诊所 不行 医生 下放 小城镇 医生 愿意 政策 分级 诊疗 思想 群众 接受 分级 诊疗 不是 容易 困难 一步 一步 解决 短期内 效果 不好,-1
察察 菜 贵 受不了 发生 上海 事 重复 新疆 乌鲁木齐 伊犁 城市 地方 担心 应验 唇亡齿寒 早 实在 太难受,-1
讲话 幽默 粗俗 不堪 想 学别 省 标语 不伦不类 不快,-1
加油,1
很快 团聚 太 开心,1
愿 生活 幸运 岁月 静好 安暖 相伴 支持,1
几个 能疫统 台湾,0
允悲 允悲 允悲 请 老师傅 天天 吃瓜 吃瓜 免费,-1
剩 几口 口粮 口粮 出不去 班 泪 牺牲 泪,-1
和谐 问题,-1
验收 交付 超 张 床位 上海 建工 建设 浦东新区 新 国际博览 中心 方舱医院 累计 验收 交付 超 张 床位 接收 患者 正式 投入使用 上海 建工 建设者 连续 奋战 小时 施工 高峰期 现场 作业 确保 方舱医院 投入 运营 上海 筑起 一道 坚实 防护 屏障,1
宝宝 妈妈 抱抱 抱抱,1
素材 微评 一种 关门 快慰 人心 住院 难 武汉 首家 方舱医院 休舱 床 床 令人欣慰 变化 显现 但愿 世间 无恙 架上 药生尘 越来越 患者 康复 越来越 方舱医院 休舱 尚未 疫情 防控 胜利 春天 已来 冀望 春风 捎来 好消息,1
帮转 长春 木工 电工 水暖工 建 方舱医院 报名 方式 要求 希望 帮忙 顶顶,1
我要 崩溃 过程 但凡 人上 点心 不至于 可爱 生命,-1
刻蚀 机 算是 打破 技术 封锁,-1
妈呀 想 拥有 羞嗒 嗒 心,1
话筒 话筒 话筒,1
平凡 创造 奇迹 英雄 出自 民间 青年 演员 黄明昊 火神山雷神山 医院 建设者 致以 崇高 敬意,1
大快人心,1
医者 仁心 致敬 英雄,1
加油 加油 加油 心 心 心,1
山西 联通 抗击 疫情 央企 福建 联通 快速 响应 保障 方舱医院 通信 畅通,1
阿中 加油,1
吉林,-1
一生 唯一 回头 走 远,1
小羊 医生 期待 宝贝 周笔畅,1
期待 世界 越来越,1
做好 防护 辛苦,1
加油 爱,1
这发 吞 太 开心 香香 市真 哈 嘻嘻,1
致敬 建设者,1
脱离 人口基数 二哈,1
绝望,-1
这屁味 够 喝 一壶,-1
太 寒心,-1
真能 白话,-1
加油 武汉,1
躺平 派 美国驻华大使馆 雇佣 纸 大学生 胡公知们 目的 破坏 中国 经济 制造 人间 惨剧 杀死 老人 小孩 伤心 伤心 伤心 伤心,-1
辛苦 环卫 伯伯,1
地方 地方 傻子 神经病 当回事,-1
暖心 武汉 雷神山医院 艺术 长廊 温暖 振奋 武汉 雷神山医院 病区 隐藏 艺术 长廊 医护人员 工作人员 表达 内心 感受 窗口 一幅幅 暖心 充满 趣味 手绘 涂鸦 医护人员 患者 带来 轻松 乐观 战胜 疫情 信念 决心 传递 武汉 全国,1
瞎折腾,-1
罐头 辰 光明 背后 黑暗 之渊 希望 上海 会展中心 方舱医院 志愿者 感染 阳性 冤案 上海 久事 集团 国企 解决 劳务 公司 远茂 股份 发展 有限公司 解决 部门 推诿 扯皮 踢皮球 解决 生命危险 支援 方舱 做 保洁 打扫卫生 当成 乞丐 活活 地上,-1
加油,1
朱一龙 喜欢 笑 样子 轻风 拂过 暖阳 眼里 盛满 星光 朱一龙,1
害 未来 哪有 女 昨天 哪有 怀孕 九个 前线 火神山雷神山 哪有 女人 这才 多久 这部 电视剧 劳苦功高,-1
自欺欺人,-1
更好,1
关注 话筒 话筒,1
鲜花 鲜花 鲜花,1
加油,1
可爱,1
放过 山东人 求求 服 份 阴阳 考场 考试 群众,-1
上海 时尚 丢脸,-1
坚决 做 盐,-1
微评 一种 关门 快慰 人心 住院 难 武汉 首家 方舱医院 休舱 床 床 令人欣慰 变化 显现 但愿 世间 无恙 架上 药生尘 越来越 患者 康复 越来越 方舱医院 休舱 尚未 疫情 防控 胜利 春天 已来 冀望 春风 捎来 好消息,1
心 心 心,1
弄 集中营 人权,-1
广告,-1
好好,1
公立医院 几个 累死,-1
说 居委 买 菜 从没 收到 货 发 菜 绿 土豆 烂菜 淋巴癌 患者 母亲 求救 希望 医院 收治 凌晨 到达 医院 感谢 网友 母亲 被拉入 方舱 得不到 癌症 治疗 新 求助,-1
全家 阳 打开 窗户 喝点 西北风 冰箱 不用 开 不用 做 允悲,-1
谢谢 主任,1
加油 加油 加油 加油,1
觉着 说 挺 笑 隔离 核酸 说到底 土办法 科学 防疫 疫苗 裂开,-1
防护 简陋,-1
感染 居家 隔离 家人 感染 不建 方舱医院 傻,-1
全国 第一案 恶意 注册 火神 山 商标 企业 做 代理 北京 公司 罚 万 北京 亿捷 顺达 国际 知识产权 代理 有限公司 受 广州 湖北 两家 公司 委托 国家知识产权局 申请 名称 雷 神山 火神 山 商标 共计 件 代理 恶意 申请 注册 火神 山 雷 神山 商标 北京 这家 代理 公司 处以 最高 额度 万元 罚款 此案 打击 代理 恶意 商标注册 申请 全国 第一案,-1
国内 医护人员 来港 这是 啥意思 真 国外,-1
疫情 早 没事 真不知道 一天到晚 管控,-1
说句 难听 真特 不要脸,-1
武汉 加油 武汉 交通管制 全国 支 医疗队 驰援 湖北 物资 全国 运往 武汉 火神山医院 开建 雷神山医院 建设 开工 各省市 启动 一级 响应 远离 家人 奔赴 战 疫 前线 夜以继日 争分夺秒 疫情 赛跑 戳 致敬,1
方舱医院 志愿 服务,0
致敬 英雄,1
太不像话 卸磨杀驴 操 雷 神山 工人,-1
失智 发言,-1
丹东 事 不是 当事人 就算 门里 道 道 想 问 真的 父女 二人 做错 罪 指责 警察 羞愧,-1
晚安 鹏城,1
长春 木工 电工 水暖工 建 方舱医院 报名 方式 要求 希望 帮忙 顶顶,1
想 问问 工作 纳税 钱 哪来 唇亡齿寒 懂吗,-1
加油,1
憋 不去 广场 舞,-1
本来 会笑 我刚 三位 医护人员 跳舞 哭 想到 防护服 里 一个个 鲜活 生动 经历 地方 来会 跳 舞蹈 时代 感动 想象 闪耀 生命力 方舱医院 可贵,1
屎,-1
确实 学 不好 中医 允悲 允悲 雪豹 中医学 人定 特别 聪明 悟性 高 搞不懂 正常 中医 挑人 不是 想学 中医 学好,-1
童话 爱 真实 美好 遭受 实验 圆木 喜欢 方舱医院 直播 追捧 小蓝 挖掘机 物化 人类 思考 喜怒哀乐 痛苦 需求 轻松 享受 奉献 鸡 贼,1
热忱 欢迎 企事业 单位 方舱医院 洽谈 联系人 袁 经理 抱拳 抱拳 玫瑰,1
加个 字,-1
方舱医院 温馨 之地,1
正说 剧漫 表态 小红花,1
欢迎 平安 回来,1
环保 普法 厉害 国 中国 加油,1
心 心 亲亲 亲亲 亲亲 亲亲 亲亲 亲亲,1
辛苦 感动,1
疫情 紧张 不幸 感染 方舱医院 玩 魔方 姑娘 乐观 勇敢 感动 李现 故事 打动 特意 录制 一份 暖心 祝福 治愈 重启 正常 生活 鼓劲 加油 疫情 希望 爱,1
我刷 寄 允悲,-1
